topic_i,topic_j,label_i,label_j,cosine_raw,cosine_centered,cosine_ctfidf,keyword_jaccard
4,20,KOOS and Knee-Specific PROMs,Depression and Mental Health in Arthroplasty,0.9915285110473633,0.10317741334438324,0.7514106968069416,0.3333333333333333
5,67,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Cardiac Complications and Medical Comorbidities After TJA,0.9977401494979858,0.8806420564651489,0.7484242127801859,0.2903225806451613
46,55,Radiographic Implant Survival and Loosening Assessment,Cementless Stem Subsidence and Early Fixation,0.9989868998527527,0.7314938306808472,0.7434120089798248,0.5384615384615384
15,65,Medicare Reimbursement and Bundled Payments,Medicare Reimbursement and Bundled Payments (Cms),0.9959035515785217,0.8644917607307434,0.741744888347786,0.3793103448275862
20,30,Depression and Mental Health in Arthroplasty,Unicompartmental Knee Arthroplasty Functional Outcomes,0.9979019165039062,0.8545185923576355,0.7382913870603415,0.3793103448275862
10,55,Aseptic Loosening of Hip and Knee Implants,Cementless Stem Subsidence and Early Fixation,0.9981169700622559,0.6026778221130371,0.7376494267176809,0.48148148148148145
20,58,Depression and Mental Health in Arthroplasty,Patient Satisfaction After Joint Arthroplasty,0.9941692352294922,0.44704294204711914,0.7352528073868871,0.3793103448275862
2,46,Primary Total Hip Arthroplasty Technique and Outcomes,Radiographic Implant Survival and Loosening Assessment,0.9964026212692261,0.3644592761993408,0.7300903248934116,0.3793103448275862
2,70,Primary Total Hip Arthroplasty Technique and Outcomes,Femoral Stem Survival and Aseptic Loosening,0.9964964389801025,0.4494570195674896,0.7281357751482076,0.48148148148148145
10,70,Aseptic Loosening of Hip and Knee Implants,Femoral Stem Survival and Aseptic Loosening,0.9977355003356934,0.6099880933761597,0.7247246820248131,0.42857142857142855
33,70,Osteolysis and Implant Loosening,Femoral Stem Survival and Aseptic Loosening,0.9977397918701172,0.732654333114624,0.7244108194722874,0.42857142857142855
34,78,"Opioid Use, Prescription Patterns, and Stewardship",Preoperative Opioid Use and Outcomes,0.9905576705932617,0.12945879995822906,0.7226604387976043,0.25
25,46,Implant Survival Analysis and Competing Risk Methods,Radiographic Implant Survival and Loosening Assessment,0.995525598526001,0.5080513954162598,0.7190087039719945,0.48148148148148145
14,25,THA Survivorship and Long-Term Aseptic Loosening,Implant Survival Analysis and Competing Risk Methods,0.9876527786254883,-0.4594465494155884,0.7162851693857865,0.48148148148148145
47,62,Ambulatory Surgery Center and Outpatient TJA,Same-Day Discharge Protocols in Joint Arthroplasty,0.997507631778717,0.669725239276886,0.7138456727924951,0.3333333333333333
5,25,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Implant Survival Analysis and Competing Risk Methods,0.9969444274902344,0.8139908313751221,0.7136623438298402,0.2903225806451613
12,25,Ceramic-on-Ceramic Bearings and Fracture,Implant Survival Analysis and Competing Risk Methods,0.9973646402359009,0.7827041149139404,0.7131022800505928,0.2903225806451613
6,67,Observational Study Design and Statistical Methods,Cardiac Complications and Medical Comorbidities After TJA,0.9972096681594849,0.6853012442588806,0.7104665680769111,0.3333333333333333
5,54,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Morbid Obesity and Joint Arthroplasty Complications,0.9979883432388306,0.8908147215843201,0.7101708636644766,0.3333333333333333
25,70,Implant Survival Analysis and Competing Risk Methods,Femoral Stem Survival and Aseptic Loosening,0.9960511922836304,0.5911927819252014,0.7073079786485191,0.42857142857142855
30,42,Unicompartmental Knee Arthroplasty Functional Outcomes,Lower Extremity Deformity and Ligament Reconstruction,0.9985852241516113,0.783222496509552,0.7061298103249646,0.2903225806451613
27,44,Medicare Reimbursement and Bundled Payments (Costs),30-Day Readmission and Postoperative Complications,0.9986532330513,0.7876845598220825,0.6995570867581082,0.48148148148148145
12,55,Ceramic-on-Ceramic Bearings and Fracture,Cementless Stem Subsidence and Early Fixation,0.9955672025680542,0.5285730957984924,0.6988919126052856,0.3793103448275862
10,12,Aseptic Loosening of Hip and Knee Implants,Ceramic-on-Ceramic Bearings and Fracture,0.9971655607223511,0.7353929877281189,0.6969994721805993,0.3333333333333333
55,70,Cementless Stem Subsidence and Early Fixation,Femoral Stem Survival and Aseptic Loosening,0.997978925704956,0.5699118375778198,0.6958777486465285,0.5384615384615384
44,62,30-Day Readmission and Postoperative Complications,Same-Day Discharge Protocols in Joint Arthroplasty,0.9986881017684937,0.8429322242736816,0.6953437629220907,0.48148148148148145
14,57,THA Survivorship and Long-Term Aseptic Loosening,Ceramic Components and Periprosthetic Osteolysis,0.9983561635017395,0.8192965984344482,0.6935547015556417,0.3333333333333333
8,51,"Knee Kinematics, Gap Balancing, and ROM",Soft Tissue Balancing and Ligament Release in TKA,0.9987271428108215,0.875938355922699,0.691998396620795,0.3333333333333333
40,58,KOOS and Knee-Specific PROMs (Expectations),Patient Satisfaction After Joint Arthroplasty,0.9967405796051025,0.47172996401786804,0.6890775159740413,0.42857142857142855
5,47,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Ambulatory Surgery Center and Outpatient TJA,0.9915030598640442,0.30753371119499207,0.678452298538973,0.2903225806451613
27,62,Medicare Reimbursement and Bundled Payments (Costs),Same-Day Discharge Protocols in Joint Arthroplasty,0.997431755065918,0.6635310649871826,0.6760739068534382,0.3793103448275862
25,60,Implant Survival Analysis and Competing Risk Methods,Bariatric Surgery Prior to Joint Arthroplasty,0.9961690902709961,0.6200735569000244,0.6723728815356981,0.2903225806451613
2,10,Primary Total Hip Arthroplasty Technique and Outcomes,Aseptic Loosening of Hip and Knee Implants,0.9938622117042542,0.033802781254053116,0.6719921500407985,0.3333333333333333
6,54,Observational Study Design and Statistical Methods,Morbid Obesity and Joint Arthroplasty Complications,0.9963544607162476,0.6176018118858337,0.669035478161807,0.3333333333333333
33,46,Osteolysis and Implant Loosening,Radiographic Implant Survival and Loosening Assessment,0.9966838359832764,0.5713023543357849,0.6674474184073784,0.3333333333333333
4,30,KOOS and Knee-Specific PROMs,Unicompartmental Knee Arthroplasty Functional Outcomes,0.9947020411491394,0.07033748924732208,0.6663750096972226,0.2903225806451613
47,67,Ambulatory Surgery Center and Outpatient TJA,Cardiac Complications and Medical Comorbidities After TJA,0.9967517852783203,0.5664427876472473,0.6648729118548593,0.2903225806451613
54,60,Morbid Obesity and Joint Arthroplasty Complications,Bariatric Surgery Prior to Joint Arthroplasty,0.9984052777290344,0.8352750539779663,0.662980882514053,0.2903225806451613
20,25,Depression and Mental Health in Arthroplasty,Implant Survival Analysis and Competing Risk Methods,0.9971528053283691,0.7877097129821777,0.6615481514117089,0.21212121212121213
54,67,Morbid Obesity and Joint Arthroplasty Complications,Cardiac Complications and Medical Comorbidities After TJA,0.9987479448318481,0.8758729696273804,0.6589487833838096,0.21212121212121213
4,58,KOOS and Knee-Specific PROMs,Patient Satisfaction After Joint Arthroplasty,0.9981585741043091,0.5526269674301147,0.6580787486142837,0.2903225806451613
56,75,Tibial Mechanical Axis and Varus-Valgus Alignment,Lower Extremity Alignment and Deformity Correction,0.9940617680549622,0.23742921650409698,0.6578958074660918,0.3333333333333333
62,67,Same-Day Discharge Protocols in Joint Arthroplasty,Cardiac Complications and Medical Comorbidities After TJA,0.9987336993217468,0.8625072240829468,0.6571058567428048,0.25
37,39,Femoral Head Collapse and Osteonecrosis,Hip Dysplasia and Periacetabular Osteotomy,0.99630206823349,0.5102945566177368,0.6568373584280917,0.42857142857142855
2,57,Primary Total Hip Arthroplasty Technique and Outcomes,Ceramic Components and Periprosthetic Osteolysis,0.9981962442398071,0.7964761853218079,0.6564506273865494,0.42857142857142855
30,40,Unicompartmental Knee Arthroplasty Functional Outcomes,KOOS and Knee-Specific PROMs (Expectations),0.9975521564483643,0.6732223033905029,0.6554048609365329,0.2903225806451613
19,81,"Patellar Resurfacing, PCL Management, and Knee Design",Knee Society Score and Clinical Outcome Reporting,0.9965406656265259,0.4456450641155243,0.65454761149906,0.17647058823529413
5,10,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Aseptic Loosening of Hip and Knee Implants,0.9947072267532349,0.649604082107544,0.6517005687493064,0.2903225806451613
57,70,Ceramic Components and Periprosthetic Osteolysis,Femoral Stem Survival and Aseptic Loosening,0.9950814247131348,0.38247230648994446,0.6515060916476016,0.3333333333333333
20,28,Depression and Mental Health in Arthroplasty,Medicare Reimbursement and Bundled Payments (Proms),0.9930470585823059,0.29797714948654175,0.650433492915885,0.2903225806451613
66,76,Blood Loss and Transfusion Management,Blood Loss and Transfusion Management (Hgb),0.9978429675102234,0.6015768051147461,0.6495620279283153,0.3793103448275862
2,59,Primary Total Hip Arthroplasty Technique and Outcomes,Extended Trochanteric Osteotomy and Periprosthetic Fracture,0.9926944971084595,0.42344725131988525,0.6447601551753757,0.21212121212121213
42,63,Lower Extremity Deformity and Ligament Reconstruction,Knee Flexion and Range of Motion After TKA,0.9983620047569275,0.64693284034729,0.6417881680279801,0.14285714285714285
25,55,Implant Survival Analysis and Competing Risk Methods,Cementless Stem Subsidence and Early Fixation,0.9946832060813904,0.35888299345970154,0.6415200481732602,0.3793103448275862
5,20,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Depression and Mental Health in Arthroplasty,0.9966721534729004,0.8006690740585327,0.6403115583199416,0.17647058823529413
11,71,Aspirin vs Anticoagulant VTE Prophylaxis,Vancomycin Prophylaxis and Acute Kidney Injury Risk,0.9965933561325073,0.8525326251983643,0.638780367355112,0.3333333333333333
4,28,KOOS and Knee-Specific PROMs,Medicare Reimbursement and Bundled Payments (Proms),0.9983111023902893,0.5838884115219116,0.6383813022986207,0.3333333333333333
6,62,Observational Study Design and Statistical Methods,Same-Day Discharge Protocols in Joint Arthroplasty,0.9963979125022888,0.5843777060508728,0.638232931759976,0.25
33,55,Osteolysis and Implant Loosening,Cementless Stem Subsidence and Early Fixation,0.9966723322868347,0.562869668006897,0.6363579196919237,0.3793103448275862
5,62,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Same-Day Discharge Protocols in Joint Arthroplasty,0.9961085319519043,0.756417989730835,0.6362856965139057,0.17647058823529413
10,33,Aseptic Loosening of Hip and Knee Implants,Osteolysis and Implant Loosening,0.9959646463394165,0.49718034267425537,0.6350687789349969,0.2903225806451613
6,47,Observational Study Design and Statistical Methods,Ambulatory Surgery Center and Outpatient TJA,0.995208203792572,0.25543540716171265,0.6303124868574147,0.2903225806451613
19,63,"Patellar Resurfacing, PCL Management, and Knee Design",Knee Flexion and Range of Motion After TKA,0.9985276460647583,0.5804014205932617,0.6296618779897674,0.21212121212121213
2,25,Primary Total Hip Arthroplasty Technique and Outcomes,Implant Survival Analysis and Competing Risk Methods,0.9894691705703735,-0.12105466425418854,0.6290481667182557,0.25
14,35,THA Survivorship and Long-Term Aseptic Loosening,Registry-Based Revision Risk and Implant Survivorship,0.9941332936286926,-0.06879637390375137,0.6286674217015189,0.17647058823529413
5,31,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Hip-Spine Syndrome and Lumbar Fusion After THA,0.9931209087371826,0.5276248455047607,0.6274383744401455,0.2903225806451613
6,44,Observational Study Design and Statistical Methods,30-Day Readmission and Postoperative Complications,0.9970765113830566,0.6193336248397827,0.6273692625933095,0.3333333333333333
10,35,Aseptic Loosening of Hip and Knee Implants,Registry-Based Revision Risk and Implant Survivorship,0.9967079162597656,0.4232969880104065,0.6232991921612409,0.2903225806451613
27,47,Medicare Reimbursement and Bundled Payments (Costs),Ambulatory Surgery Center and Outpatient TJA,0.9982151985168457,0.631151020526886,0.6231157590683283,0.3333333333333333
60,67,Bariatric Surgery Prior to Joint Arthroplasty,Cardiac Complications and Medical Comorbidities After TJA,0.9984244108200073,0.8173250555992126,0.6228166423769809,0.25
30,81,Unicompartmental Knee Arthroplasty Functional Outcomes,Knee Society Score and Clinical Outcome Reporting,0.9958899021148682,0.477795273065567,0.6207983044571591,0.25
18,57,Polyethylene Liner Performance,Ceramic Components and Periprosthetic Osteolysis,0.9964247345924377,0.7419382929801941,0.620225686569183,0.2903225806451613
44,47,30-Day Readmission and Postoperative Complications,Ambulatory Surgery Center and Outpatient TJA,0.9976783990859985,0.6074970960617065,0.6201330145675839,0.3333333333333333
2,39,Primary Total Hip Arthroplasty Technique and Outcomes,Hip Dysplasia and Periacetabular Osteotomy,0.9935845136642456,0.23186463117599487,0.6199362849022508,0.25
14,43,THA Survivorship and Long-Term Aseptic Loosening,National Joint Replacement Registry Studies,0.9956507682800293,0.3335697054862976,0.6198217158197309,0.17647058823529413
19,79,"Patellar Resurfacing, PCL Management, and Knee Design",KOOS Outcomes After Simultaneous Bilateral TKA,0.9971301555633545,0.5226395726203918,0.6197972840529671,0.2903225806451613
36,59,Periprosthetic Fracture Treatment and Fixation,Extended Trochanteric Osteotomy and Periprosthetic Fracture,0.9929569959640503,0.40280449390411377,0.6191224956896588,0.25
25,39,Implant Survival Analysis and Competing Risk Methods,Hip Dysplasia and Periacetabular Osteotomy,0.9970927238464355,0.7358367443084717,0.6187107287958807,0.21212121212121213
42,81,Lower Extremity Deformity and Ligament Reconstruction,Knee Society Score and Clinical Outcome Reporting,0.9969937801361084,0.5740774869918823,0.6174049086494232,0.21212121212121213
16,26,Implant Retrieval and Corrosion Analysis,Femoral Head Taper Corrosion and Modular Junction Failure,0.997614324092865,0.8946542143821716,0.6173145051029609,0.3333333333333333
2,55,Primary Total Hip Arthroplasty Technique and Outcomes,Cementless Stem Subsidence and Early Fixation,0.9963222146034241,0.27444666624069214,0.6164526613691366,0.3333333333333333
25,54,Implant Survival Analysis and Competing Risk Methods,Morbid Obesity and Joint Arthroplasty Complications,0.9969221949577332,0.7279959917068481,0.6162372532837914,0.25
30,58,Unicompartmental Knee Arthroplasty Functional Outcomes,Patient Satisfaction After Joint Arthroplasty,0.9965171813964844,0.40482860803604126,0.6152038043672665,0.25
10,36,Aseptic Loosening of Hip and Knee Implants,Periprosthetic Fracture Treatment and Fixation,0.9980566501617432,0.5776990652084351,0.614930680673598,0.21212121212121213
28,40,Medicare Reimbursement and Bundled Payments (Proms),KOOS and Knee-Specific PROMs (Expectations),0.9973362684249878,0.5749902725219727,0.6147805940122031,0.2903225806451613
10,60,Aseptic Loosening of Hip and Knee Implants,Bariatric Surgery Prior to Joint Arthroplasty,0.9967770576477051,0.5115107893943787,0.6140033048529899,0.2903225806451613
6,25,Observational Study Design and Statistical Methods,Implant Survival Analysis and Competing Risk Methods,0.9930158853530884,0.31504982709884644,0.6134256167339714,0.25
25,31,Implant Survival Analysis and Competing Risk Methods,Hip-Spine Syndrome and Lumbar Fusion After THA,0.9951834678649902,0.4417881965637207,0.6121748483999053,0.25
27,67,Medicare Reimbursement and Bundled Payments (Costs),Cardiac Complications and Medical Comorbidities After TJA,0.9961023330688477,0.4864383935928345,0.6119285365221191,0.3333333333333333
25,30,Implant Survival Analysis and Competing Risk Methods,Unicompartmental Knee Arthroplasty Functional Outcomes,0.9972965717315674,0.7413012385368347,0.6118267988907506,0.3333333333333333
19,20,"Patellar Resurfacing, PCL Management, and Knee Design",Depression and Mental Health in Arthroplasty,0.9904542565345764,-0.14078180491924286,0.6110076842638672,0.25
30,79,Unicompartmental Knee Arthroplasty Functional Outcomes,KOOS Outcomes After Simultaneous Bilateral TKA,0.989342987537384,-0.41322943568229675,0.609359488185728,0.21212121212121213
18,33,Polyethylene Liner Performance,Osteolysis and Implant Loosening,0.9923707246780396,0.41595908999443054,0.6079464349441152,0.3333333333333333
8,63,"Knee Kinematics, Gap Balancing, and ROM",Knee Flexion and Range of Motion After TKA,0.9959852695465088,0.5020690560340881,0.6061996119300141,0.14285714285714285
10,45,Aseptic Loosening of Hip and Knee Implants,Direct Anterior Approach Total Hip Arthroplasty,0.9950312376022339,-0.03249135613441467,0.605961978402662,0.25
5,11,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Aspirin vs Anticoagulant VTE Prophylaxis,0.9952853918075562,0.707852840423584,0.6039373701492357,0.21212121212121213
12,59,Ceramic-on-Ceramic Bearings and Fracture,Extended Trochanteric Osteotomy and Periprosthetic Fracture,0.9973975419998169,0.8313801884651184,0.6037996081487125,0.21212121212121213
0,34,Tranexamic Acid and Perioperative Blood Management,"Opioid Use, Prescription Patterns, and Stewardship",0.9965356588363647,0.3733319640159607,0.6030580708906765,0.2903225806451613
42,56,Lower Extremity Deformity and Ligament Reconstruction,Tibial Mechanical Axis and Varus-Valgus Alignment,0.9931276440620422,-0.035524025559425354,0.6000548236046224,0.2903225806451613
5,7,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Systematic Reviews and Meta-Analyses,0.9942700266838074,0.6062759757041931,0.5992909849929793,0.25
55,57,Cementless Stem Subsidence and Early Fixation,Ceramic Components and Periprosthetic Osteolysis,0.9960743188858032,0.4557514488697052,0.5987932142440944,0.2903225806451613
8,19,"Knee Kinematics, Gap Balancing, and ROM","Patellar Resurfacing, PCL Management, and Knee Design",0.9964454770088196,0.5737030506134033,0.5975811829379594,0.25
44,67,30-Day Readmission and Postoperative Complications,Cardiac Complications and Medical Comorbidities After TJA,0.9981078505516052,0.7770135402679443,0.5975757718960405,0.3333333333333333
14,18,THA Survivorship and Long-Term Aseptic Loosening,Polyethylene Liner Performance,0.9956438541412354,0.6774994134902954,0.5963734509637626,0.2903225806451613
2,21,Primary Total Hip Arthroplasty Technique and Outcomes,Adverse Local Tissue Reactions and Implant Corrosion,0.9961129426956177,0.5659152269363403,0.5942900525304121,0.21212121212121213
31,60,Hip-Spine Syndrome and Lumbar Fusion After THA,Bariatric Surgery Prior to Joint Arthroplasty,0.9976763725280762,0.6095956563949585,0.5928178812643411,0.21212121212121213
20,54,Depression and Mental Health in Arthroplasty,Morbid Obesity and Joint Arthroplasty Complications,0.9964377284049988,0.7234918475151062,0.5913269626957166,0.14285714285714285
25,33,Implant Survival Analysis and Competing Risk Methods,Osteolysis and Implant Loosening,0.9939180612564087,0.44177326560020447,0.5912739588833581,0.21212121212121213
6,7,Observational Study Design and Statistical Methods,Systematic Reviews and Meta-Analyses,0.995452880859375,0.3839431703090668,0.5909556917822467,0.3333333333333333
10,81,Aseptic Loosening of Hip and Knee Implants,Knee Society Score and Clinical Outcome Reporting,0.9967452883720398,0.5524734258651733,0.589481437469561,0.2903225806451613
30,63,Unicompartmental Knee Arthroplasty Functional Outcomes,Knee Flexion and Range of Motion After TKA,0.9961961507797241,0.3401571810245514,0.5891901062681852,0.14285714285714285
5,44,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),30-Day Readmission and Postoperative Complications,0.9943930506706238,0.6163125038146973,0.5873788051187316,0.25
35,55,Registry-Based Revision Risk and Implant Survivorship,Cementless Stem Subsidence and Early Fixation,0.9974130988121033,0.4156798720359802,0.5873718519132798,0.25
47,54,Ambulatory Surgery Center and Outpatient TJA,Morbid Obesity and Joint Arthroplasty Complications,0.9953559637069702,0.4153357148170471,0.5873298867258389,0.17647058823529413
20,60,Depression and Mental Health in Arthroplasty,Bariatric Surgery Prior to Joint Arthroplasty,0.9956414699554443,0.6331527233123779,0.5871196683134023,0.17647058823529413
46,57,Radiographic Implant Survival and Loosening Assessment,Ceramic Components and Periprosthetic Osteolysis,0.99486243724823,0.29307156801223755,0.5850589668692157,0.2903225806451613
47,48,Ambulatory Surgery Center and Outpatient TJA,Risk Assessment and Discharge Disposition Models,0.9965875744819641,0.40178224444389343,0.5850079384596999,0.3333333333333333
6,27,Observational Study Design and Statistical Methods,Medicare Reimbursement and Bundled Payments (Costs),0.9963979721069336,0.47943323850631714,0.5843086146355961,0.2903225806451613
10,20,Aseptic Loosening of Hip and Knee Implants,Depression and Mental Health in Arthroplasty,0.9952479600906372,0.5859341621398926,0.583740597899582,0.21212121212121213
10,30,Aseptic Loosening of Hip and Knee Implants,Unicompartmental Knee Arthroplasty Functional Outcomes,0.9973478317260742,0.5979763269424438,0.5833775098287075,0.25
56,63,Tibial Mechanical Axis and Varus-Valgus Alignment,Knee Flexion and Range of Motion After TKA,0.9966543912887573,0.47901856899261475,0.5830398162509343,0.21212121212121213
27,65,Medicare Reimbursement and Bundled Payments (Costs),Medicare Reimbursement and Bundled Payments (Cms),0.9898577332496643,0.4093647301197052,0.5824727553467056,0.3333333333333333
30,56,Unicompartmental Knee Arthroplasty Functional Outcomes,Tibial Mechanical Axis and Varus-Valgus Alignment,0.9900099039077759,-0.296285480260849,0.582355016558301,0.21212121212121213
2,18,Primary Total Hip Arthroplasty Technique and Outcomes,Polyethylene Liner Performance,0.9965705275535583,0.760202169418335,0.5818951269976043,0.21212121212121213
59,70,Extended Trochanteric Osteotomy and Periprosthetic Fracture,Femoral Stem Survival and Aseptic Loosening,0.9950762987136841,0.6453430652618408,0.5807719272716755,0.25
35,70,Registry-Based Revision Risk and Implant Survivorship,Femoral Stem Survival and Aseptic Loosening,0.9966374635696411,0.4111098349094391,0.5803240043240901,0.2903225806451613
13,18,Case Reports of Unusual Arthroplasty Complications,Polyethylene Liner Performance,0.990920901298523,0.3891981244087219,0.5762616069110555,0.25
54,62,Morbid Obesity and Joint Arthroplasty Complications,Same-Day Discharge Protocols in Joint Arthroplasty,0.9982106685638428,0.8197906017303467,0.5754599656997264,0.17647058823529413
28,58,Medicare Reimbursement and Bundled Payments (Proms),Patient Satisfaction After Joint Arthroplasty,0.9970420598983765,0.27525877952575684,0.5751441928089757,0.25
2,37,Primary Total Hip Arthroplasty Technique and Outcomes,Femoral Head Collapse and Osteonecrosis,0.9968534708023071,0.44422829151153564,0.5706534137604059,0.2903225806451613
5,27,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Medicare Reimbursement and Bundled Payments (Costs),0.9904516935348511,0.21719422936439514,0.5704731474102765,0.21212121212121213
14,21,THA Survivorship and Long-Term Aseptic Loosening,Adverse Local Tissue Reactions and Implant Corrosion,0.9966166019439697,0.6058861613273621,0.5696197577627582,0.21212121212121213
19,51,"Patellar Resurfacing, PCL Management, and Knee Design",Soft Tissue Balancing and Ligament Release in TKA,0.9978300929069519,0.5803490877151489,0.569508050334972,0.25
25,45,Implant Survival Analysis and Competing Risk Methods,Direct Anterior Approach Total Hip Arthroplasty,0.9906219244003296,-0.22064806520938873,0.5694512591529526,0.21212121212121213
48,62,Risk Assessment and Discharge Disposition Models,Same-Day Discharge Protocols in Joint Arthroplasty,0.9927521347999573,0.0877474918961525,0.5683699598486215,0.21212121212121213
15,44,Medicare Reimbursement and Bundled Payments,30-Day Readmission and Postoperative Complications,0.9950852990150452,0.3450973927974701,0.5682297928891401,0.2903225806451613
3,5,Periprosthetic Joint Infection Diagnosis and Treatment,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),0.993543267250061,0.549125075340271,0.5676247442296036,0.21212121212121213
47,60,Ambulatory Surgery Center and Outpatient TJA,Bariatric Surgery Prior to Joint Arthroplasty,0.995871901512146,0.30225515365600586,0.5663735755216193,0.14285714285714285
15,62,Medicare Reimbursement and Bundled Payments,Same-Day Discharge Protocols in Joint Arthroplasty,0.9923874735832214,0.10633625090122223,0.5651672715206977,0.21212121212121213
42,75,Lower Extremity Deformity and Ligament Reconstruction,Lower Extremity Alignment and Deformity Correction,0.9982482194900513,0.7330282926559448,0.5649089545279354,0.3793103448275862
10,43,Aseptic Loosening of Hip and Knee Implants,National Joint Replacement Registry Studies,0.9937080144882202,0.061055563390254974,0.564779335125681,0.17647058823529413
