topic_id,final_clinical_label,rank,pmid,year,title
2,Primary Total Hip Arthroplasty Technique and Outcomes,5,28529108,2017,"A 3- to 18-Year Follow-Up of Revision Total Hip Arthroplasty With Impacted Bone Allografts and Cemented Lubinus SP II Stem. Clinical, Radiographic, and Survivorship Analysis With Comparison to the Literature."
3,Periprosthetic Joint Infection Diagnosis and Treatment,1,40683392,2026,"Outcome of Debridement, Antibiotics, and Implant Retention for Treatment of Late Acute Hematogenous Periprosthetic Joint Infections."
3,Periprosthetic Joint Infection Diagnosis and Treatment,2,37179023,2023,Failed 2-Stage Revision Knee Arthroplasty for Periprosthetic Joint Infection-Patient Characteristics and Outcomes.
3,Periprosthetic Joint Infection Diagnosis and Treatment,3,29555498,2018,Preoperative Anemia Is Associated With Failure of Open Debridement Polyethylene Exchange in Acute and Acute Hematogenous Prosthetic Joint Infection.
3,Periprosthetic Joint Infection Diagnosis and Treatment,4,41106701,2026,Lower Reported Success Rates of Two-Stage Revisions for Periprosthetic Joint Infections Using Musculoskeletal Infection Society Outcome Reporting Tool at a Specialty Referral Center.
3,Periprosthetic Joint Infection Diagnosis and Treatment,5,29691181,2018,Success of Two-Stage Reimplantation in Patients Requiring an Interim Spacer Exchange.
4,KOOS and Knee-Specific PROMs,1,40972990,2026,Contralateral Total Knee Arthroplasty More Than One Year Apart: Do Patient-Reported Outcomes and Health Care Utilization Differ After Each Surgery?
4,KOOS and Knee-Specific PROMs,2,39870332,2025,Recovery Time and Success: A Comparative Study of Robotic and Manual Total Hip Arthroplasty Outcomes.
4,KOOS and Knee-Specific PROMs,3,40262680,2025,The Patient Acceptable Symptom State (PASS) has Little Utility Before Total Hip or Knee Arthroplasty.
4,KOOS and Knee-Specific PROMs,4,35490979,2022,Validation of Single-Outcome Questionnaire in Primary TKA and THA.
4,KOOS and Knee-Specific PROMs,5,36096272,2023,Obese Patients Achieve Good Improvements in Patient-Reported Outcome Measures After Medial Unicompartmental Knee Arthroplasty Despite a Lower Preoperative Score.
5,Periprosthetic Joint Infection Epidemiology and Risk Factors,1,40675513,2026,Prior Cellulitis as a Risk Factor for Periprosthetic Joint Infection in Total Knee Arthroplasty: Influence of Timing and Antibiotic Prophylaxis.
5,Periprosthetic Joint Infection Epidemiology and Risk Factors,2,32381445,2020,Urinary Self-Catheterization is Not Associated with Increased Risk of Major Complications Following Total Hip and Knee Arthroplasty.
5,Periprosthetic Joint Infection Epidemiology and Risk Factors,3,39002769,2025,Outcomes of Total Hip Arthroplasty in Patients Who Have Ehlers-Danlos Syndrome: A Matched Cohort Study.
5,Periprosthetic Joint Infection Epidemiology and Risk Factors,4,40334952,2025,Complications of Total Joint Arthroplasty in Patients Who Have a History of Coronary Artery Bypass Graft: A Propensity-Matched Cohort Study.
5,Periprosthetic Joint Infection Epidemiology and Risk Factors,5,39233100,2025,Routine Prescription of Proton Pump Inhibitors in the Perioperative Period is Associated With Decreased Rates of 2-Year Revision Surgery After Total Hip and Knee Arthroplasty.
6,Observational Study Reporting and Statistical Language,1,32197965,2020,"The Effects of Opioid Use on Thromboembolic Complications, Readmission Rates, and 90-Day Episode of Care Costs After Total Hip Arthroplasty."
6,Observational Study Reporting and Statistical Language,2,36529200,2023,Chronic Opioid Use Independently Increases Complications and Resource Utilization After Primary Total Joint Arthroplasty.
6,Observational Study Reporting and Statistical Language,3,32690429,2020,Mortality and Complications in Patients with Metastatic Disease after Primary Total Hip and Total Knee Arthroplasty.
6,Observational Study Reporting and Statistical Language,4,37290568,2023,"Increased Complication Risk Associated With Simultaneous Bilateral Total Hip Arthroplasty: A Contemporary, Matched Cohort Analysis."
6,Observational Study Reporting and Statistical Language,5,31337553,2019,"Does Hemophilia Increase Risk of Adverse Outcomes Following Total Hip and Knee Arthroplasty? A Propensity Score-Matched Analysis of a Nationwide, Population-Based Study."
7,Systematic Reviews and Meta-Analyses,1,39128780,2025,Outcomes of Dual Mobility Versus Fixed-Bearing Components in Revision Total Hip Arthroplasty: A Systematic Review and Meta-Analysis.
7,Systematic Reviews and Meta-Analyses,2,31053467,2019,The Efficacy and Safety of Inpatient Rehabilitation Compared With Home Discharge After Hip or Knee Arthroplasty: A Meta-Analysis and Systematic Review.
7,Systematic Reviews and Meta-Analyses,3,40939941,2026,Evaluating the Efficacy of Dual Versus Single Antibiotic-Loaded Bone Cement in Hip Arthroplasty: A Systematic Review and Meta-Analysis.
7,Systematic Reviews and Meta-Analyses,4,28341278,2017,Early Outcomes of Kinematic Alignment in Primary Total Knee Arthroplasty: A Meta-Analysis of the Literature.
7,Systematic Reviews and Meta-Analyses,5,38754706,2024,Patient-Reported Outcomes and Range of Motion Following Knee Arthroplasty Using a Megaprosthesis in Non-Oncological Patients: A Systematic Review.
8,"Knee Kinematics, Gap Balancing, and ROM",1,31784361,2020,Kinematic Performance of Gradually Variable Radius Posterior-Stabilized Primary TKA During Various Activities: An In Vivo Study Using Fluoroscopy.
8,"Knee Kinematics, Gap Balancing, and ROM",2,29066105,2018,In Vivo Kinematic Comparison of a Bicruciate Stabilized Total Knee Arthroplasty and the Normal Knee Using Fluoroscopy.
8,"Knee Kinematics, Gap Balancing, and ROM",3,32111514,2020,In Vivo Knee Kinematics for a Cruciate Sacrificing Total Knee Arthroplasty Having Both a Symmetrical Femoral and Tibial Component.
8,"Knee Kinematics, Gap Balancing, and ROM",4,40685029,2026,The Effect of Component Design and Tibial Tray Orientation on Weight-Bearing Postoperative Kinematics for Total Knee Arthroplasty: A Parametric Analysis of Multiple Variables.
8,"Knee Kinematics, Gap Balancing, and ROM",5,15902853,2005,In vivo determination of knee kinematics for Japanese subjects having either a low contact stress rotating platform or an anteroposterior glide total knee arthroplasty.
9,Periprosthetic Joint Infection Diagnosis and Treatment (Synovial),1,41276235,2025,Synovial Absolute Neutrophil Count as a Superior Diagnostic Biomarker for Acute Periprosthetic Joint Infection in Hip and Knee Arthroplasty With Low-Virulence Organisms.
9,Periprosthetic Joint Infection Diagnosis and Treatment (Synovial),2,31307871,2019,Reevaluating Current Cutoffs for Acute Periprosthetic Joint Infection: Current Thresholds Are Insensitive.
9,Periprosthetic Joint Infection Diagnosis and Treatment (Synovial),3,40617547,2026,Synovial Biomarkers C-Reactive Protein and Calprotectin for Diagnosing Chronic Periprosthetic Joint Infection: A Prospective Multicenter Evaluation.
9,Periprosthetic Joint Infection Diagnosis and Treatment (Synovial),4,40209824,2025,What Is the Diagnostic Performance and Accuracy of Serum Inflammatory Biomarkers and Synovial Fluid Analysis in Megaprosthetic Periprosthetic Joint Infections?
9,Periprosthetic Joint Infection Diagnosis and Treatment (Synovial),5,26994651,2016,Utility of Serum Inflammatory and Synovial Fluid Counts in the Diagnosis of Infection in Taper Corrosion of Dual Taper Modular Stems.
10,Aseptic Loosening of Hip and Knee Implants,1,41161509,2025,Outcomes and Implant Survival in Lateral Unicompartmental Knee Arthroplasty: The Path Less Traveled.
10,Aseptic Loosening of Hip and Knee Implants,2,29706257,2018,Primary Total Knee Arthroplasty in Patients With Neuropathic (Charcot) Arthropathy: Contemporary Results.
10,Aseptic Loosening of Hip and Knee Implants,3,40373833,2025,Outcomes of Primary Cementless Femoral Stems Used in Revision Hip Arthroplasty.
10,Aseptic Loosening of Hip and Knee Implants,4,41138995,2025,Unicompartmental Knee Arthroplasty for Isolated Compartment Osteonecrosis: A 20-Year Experience.
10,Aseptic Loosening of Hip and Knee Implants,5,39903456,2025,Contemporary Outcomes of Proximal Femoral Replacement as a Salvage Treatment in Nononcologic Severe Bone Loss.
11,Aspirin vs Anticoagulant VTE Prophylaxis,1,35026368,2022,Aspirin Administered for Venous Thromboembolism Prophylaxis May Protect Against Stiffness Following Total Knee Arthroplasty.
11,Aspirin vs Anticoagulant VTE Prophylaxis,2,28947374,2018,Increased Incidence of Bleeding and Wound Complications With Factor-Xa Inhibitors After Total Joint Arthroplasty.
11,Aspirin vs Anticoagulant VTE Prophylaxis,3,34140207,2021,Comparison of Surgical Site Complications With Negative Pressure Wound Therapy vs Silver Impregnated Dressing in High-Risk Total Knee Arthroplasty Patients: A Matched Cohort Study.
11,Aspirin vs Anticoagulant VTE Prophylaxis,4,35843380,2022,Low-Dose Aspirin for Venous Thromboembolism Prophylaxis is Associated With Lower Rates of Periprosthetic Joint Infection After Total Joint Arthroplasty.
11,Aspirin vs Anticoagulant VTE Prophylaxis,5,28869115,2018,Wound Discharge After Pharmacological Thromboprophylaxis in Lower Limb Arthroplasty.
12,Ceramic-on-Ceramic Bearings and Fracture,1,31200989,2019,Long-Term Outcomes of Ultra-Short Metaphyseal-Fitting Anatomic Cementless Femoral Stem in Total Hip Arthroplasty With Ceramic-on-Ceramic Articulation for Young Patients.
12,Ceramic-on-Ceramic Bearings and Fracture,2,29656971,2018,Long-Term Outcomes After Metal-on-Metal Total Hip Arthroplasty With a 28-mm Head: A 17- to 23-Year Follow-Up Study of a Previous Report.
12,Ceramic-on-Ceramic Bearings and Fracture,3,28697865,2017,Revision Total Hip Arthroplasty Using a Cementless Cup Supporter and Iliac Autograft: A Minimum of 15-Year Follow-Up.
12,Ceramic-on-Ceramic Bearings and Fracture,4,32359958,2020,The Long-Term Results of Total Hip Arthroplasty With a Cemented β-Titanium Stem.
12,Ceramic-on-Ceramic Bearings and Fracture,5,34843912,2022,Long-Term Results of Alumina Ceramic-On-Ceramic Bearings in Cementless Total Hip Arthroplasty: A 20-Year Minimum Follow-Up.
13,Case Reports of Unusual Arthroplasty Complications,1,22771093,2013,Protrusion of an artificial femoral head: a rare complication of chronic dislocation of the prosthetic hip.
13,Case Reports of Unusual Arthroplasty Complications,2,18701239,2009,Hemorrhagic iliopsoas bursitis complicating well-functioning ceramic-on-ceramic total hip arthroplasty.
13,Case Reports of Unusual Arthroplasty Complications,3,17400103,2007,Extravascular compression of the femoral vein due to wear debris-induced iliopsoas bursitis: a rare cause of leg swelling after total hip arthroplasty.
13,Case Reports of Unusual Arthroplasty Complications,4,17275649,2007,Acetabular prosthetic protrusion and sepsis: case report and review of the literature.
13,Case Reports of Unusual Arthroplasty Complications,5,20810236,2011,A late vascular complication due to component migration after revision total hip arthroplasty.
14,THA Survivorship and Long-Term Aseptic Loosening,1,35271978,2022,Minimum Five-Year Outcomes of Modular Dual Mobility in Primary Total Hip Arthroplasty.
14,THA Survivorship and Long-Term Aseptic Loosening,2,38244641,2024,Survival Rates and Patient-Reported Outcomes Support the Use of Custom Cement-Over Megaprosthesis (CCOM) in Complex Revision Lower Limb Arthroplasty.
14,THA Survivorship and Long-Term Aseptic Loosening,3,31079992,2019,Osteointegrative Sleeves for Metaphyseal Defect Augmentation in Revision Total Knee Arthroplasty: Clinical and Radiological 5-Year Follow-Up.
14,THA Survivorship and Long-Term Aseptic Loosening,4,34183212,2021,High Survivorship of Short-Cemented Femoral Stems in Condylar Revision Total Knee Arthroplasty Without Significant Metaphyseal Bone Loss: Minimum 5-Year Follow-Up.
14,THA Survivorship and Long-Term Aseptic Loosening,5,27006147,2016,Midterm Survivorship of the Lefèvre Constrained Liner: A Consecutive Multisurgeon Series of 166 Cases.
15,Medicare Reimbursement and Bundled Payments,1,32829971,2021,Target Price Adjustment for Hip Fractures Is Not Sufficient in the Bundled Payments for Care Improvement Initiative.
15,Medicare Reimbursement and Bundled Payments,2,42055227,2026,An Unsustainable Reimbursement Model: A 12-Year Analysis of Compensation for Revision Total Hip Arthroplasty.
15,Medicare Reimbursement and Bundled Payments,3,31101390,2019,"A Novel, Synergistic Model in Total Joint Arthroplasty: A Report of 2 Specialty Hospitals With Joint Ownership Between Physicians and Healthcare Systems."
15,Medicare Reimbursement and Bundled Payments,4,39357685,2025,Recent Medicare Billing Trends of Hospitals and Surgeons for Revision Hip and Knee Total Joint Arthroplasty: Is the Value of a Surgeon's Work Decreasing?
15,Medicare Reimbursement and Bundled Payments,5,38735550,2024,Risk Versus Reward: Hospitals Incentivized More Than Surgeons to Care for Riskier Arthroplasty Patients.
16,Implant Retrieval and Corrosion Analysis,1,33610405,2021,"Fretting Corrosion, Third-Body Polyethylene Damage, and Cup Positioning in Primary vs Revision Dual Mobility Total Hip Arthroplasty."
16,Implant Retrieval and Corrosion Analysis,2,38906197,2024,Oxidation and Damage Mechanisms of Second-Generation Highly Cross-Linked Polyethylene Tibial Inserts.
16,Implant Retrieval and Corrosion Analysis,3,30853157,2019,Fretting and Corrosion Damage of Retrieved Dual-Mobility Total Hip Arthroplasty Systems.
16,Implant Retrieval and Corrosion Analysis,4,29329883,2018,"Oxidation, Damage Mechanisms, and Reasons for Revision of Sequentially Annealed Highly Crosslinked Polyethylene in Total Knee Arthroplasty."
16,Implant Retrieval and Corrosion Analysis,5,40480330,2025,Crevice Corrosion Degrades Metaphyseal Sleeves Following Total Knee Arthroplasty: A Retrieval Study.
17,Metal Ion Release and Cobalt-Chromium Toxicity,1,28392135,2017,Ten-Year Cross-Sectional Study of Mechanically Assisted Crevice Corrosion in 1352 Consecutive Patients With Metal-on-Polyethylene Total Hip Arthroplasty.
17,Metal Ion Release and Cobalt-Chromium Toxicity,2,29958755,2018,Risk Factors Associated With Early Complications of Revision Surgery for Head-Neck Taper Corrosion in Metal-on-Polyethylene Total Hip Arthroplasty.
17,Metal Ion Release and Cobalt-Chromium Toxicity,3,32197964,2020,Patients Following Revision Total Hip Arthroplasty With Modular Dual Mobility Components and Cobalt-Chromium Inner Metal Head are at Risk of Increased Serum Metal Ion Levels.
17,Metal Ion Release and Cobalt-Chromium Toxicity,4,40349877,2025,Serum Metal Ion Levels in Modular Dual Mobility Liners After Total Hip Arthroplasty: A Comparison by Years and Implant Manufacturers.
17,Metal Ion Release and Cobalt-Chromium Toxicity,5,39426441,2025,Do Intra-articular Metal Ion Levels Predict Adverse Local Tissue Reaction in Revision Total Hip Arthroplasty for Mechanically Assisted Crevice Corrosion?
18,Polyethylene Liner Performance,1,17197323,2007,Catastrophic failure of a modular revision total hip polyethylene insert.
18,Polyethylene Liner Performance,2,21507603,2012,Fracture of the outer metallic head of the bipolar hip prosthesis: an unusual bearing surface failure.
18,Polyethylene Liner Performance,3,18835691,2009,Modular femoral stem-sleeve junction failure after primary total hip arthroplasty.
18,Polyethylene Liner Performance,4,18514888,2008,Catastrophic failure of ceramic-polyethylene bearing total hip arthroplasty.
18,Polyethylene Liner Performance,5,20022458,2010,Unexpected finding of a fractured metal prosthetic femoral head in a nonmodular implant during revision total hip arthroplasty.
19,"Patellar Resurfacing, PCL Management, and Knee Design",1,32265142,2020,Does Unicompartmental Knee Replacement Offer Improved Clinical Advantages Over Total Knee Replacement in the Treatment of Isolated Lateral Osteoarthritis? A Matched Cohort Analysis From an Independent Center.
19,"Patellar Resurfacing, PCL Management, and Knee Design",2,37598783,2024,"Better Flexion but Unaffected Satisfaction After Treatment With Posterior Stabilized Versus Cruciate Retaining Total Knee Arthroplasty - 2-year Results of a Prospective, Randomized Trial."
19,"Patellar Resurfacing, PCL Management, and Knee Design",3,37321517,2024,Medialized Dome and Anatomic Onlay Patella Designs in the Modern Posterior Stabilized Rotating Platform Total Knee Arthroplasty Demonstrate No Clinical or Radiological Differences at One Year.
19,"Patellar Resurfacing, PCL Management, and Knee Design",4,27600300,2017,Clinical and Radiographic Results of Attune and PFC Sigma Knee Designs at 2-Year Follow-Up: A Prospective Matched-Pair Analysis.
19,"Patellar Resurfacing, PCL Management, and Knee Design",5,41856297,2026,Equivalent Functional Outcomes in Cruciate-Retaining and Posterior-Stabilized Total Knee Arthroplasty for Knee Osteoarthritis with Severe Fixed Flexion Deformity: A Propensity Matched-Pair Analysis.
20,Depression and Mental Health in Arthroplasty,1,32446627,2020,Do Patients With Psychological Distress Have Poorer Patient-Reported Outcomes After Total Hip Arthroplasty?
20,Depression and Mental Health in Arthroplasty,2,32475784,2020,Ten-Year Results of Unicompartmental Knee Arthroplasty in Patients With Psychological Distress.
20,Depression and Mental Health in Arthroplasty,3,35569706,2022,Effect of Weight Change on Patient-Reported Outcomes Following Total Joint Arthroplasty.
20,Depression and Mental Health in Arthroplasty,4,33812719,2021,Preoperative Mental Health Influences Patient-Reported Outcome Measures and Satisfaction After Revision Total Knee Arthroplasty.
20,Depression and Mental Health in Arthroplasty,5,31495530,2020,Depression Treatment Is Not Associated With Improved Patient-Reported Outcomes Following Total Joint Arthroplasty.
21,Adverse Local Tissue Reactions and Implant Corrosion,1,35101592,2022,Metal Articulations as a Source of Total Hip Arthroplasty Pain.
21,Adverse Local Tissue Reactions and Implant Corrosion,2,32081501,2020,Metal-on-Metal Total Hip Revisions: Pearls and Pitfalls.
21,Adverse Local Tissue Reactions and Implant Corrosion,3,33549418,2021,Clinical Concerns With Dual Mobility- Should I Avoid it When Possible?
21,Adverse Local Tissue Reactions and Implant Corrosion,4,20541890,2011,Oblique posterior trochanteric osteotomy in revision total hip arthroplasty.
21,Adverse Local Tissue Reactions and Implant Corrosion,5,38458333,2024,"Cementless Total Knee Arthroplasty: A Resurgence-Who, When, Where, and How?"
22,AAHKS Member Survey Studies,1,37295626,2023,Limiting Factors for Indication of Hip and Knee Arthroplasty in Chile: The International Perception of Risk Initiative.
22,AAHKS Member Survey Studies,2,36773665,2023,Perception of Perioperative Risk for Arthroplasty Patients: A Poll of Indian Orthopedic Surgeons.
22,AAHKS Member Survey Studies,3,32731999,2020,"Robotic Surgery in Total Joint Arthroplasty: A Survey of the AAHKS Membership to Understand the Utilization, Motivations, and Perceptions of Total Joint Surgeons."
22,AAHKS Member Survey Studies,4,31076194,2019,Current Trends in Clinical Practice for the Direct Anterior Approach Total Hip Arthroplasty.
22,AAHKS Member Survey Studies,5,27817996,2017,Patient Perceptions of the Direct Anterior Hip Arthroplasty.
23,Value-Based Care and Alternative Payment Models,1,38336300,2024,A Cautionary Tale: Malaligned Incentives in Total Hip and Knee Arthroplasty Payment Model Reforms Threaten Promising Innovation and Access to Care.
23,Value-Based Care and Alternative Payment Models,2,24034511,2013,Bundled payments for care improvement initiative: the next evolution of payment formulations: AAHKS Bundled Payment Task Force.
23,Value-Based Care and Alternative Payment Models,3,38278186,2024,New CMS Merit-Based Incentive Payment System Value Pathway After Total Knee and Hip Arthroplasty: Preparing for Mandatory Reporting.
23,Value-Based Care and Alternative Payment Models,4,33785228,2021,Techniques and Strategies to Optimize Efficiencies in the Office and Operating Room: Getting Through the Patient Backlog and Preserving Hospital Resources.
23,Value-Based Care and Alternative Payment Models,5,34942346,2022,"How the Shift in Arthroplasty Surgery Location Impacts the Relationship of Private Surgeons, Hospitals, and Ambulatory Surgery Centers."
24,Biomechanical Testing and Implant Stability,1,33958253,2021,How Does Contact Length Impact Titanium Tapered Splined Stem Stability: A Biomechanical Matched Pair Cadaveric Study.
24,Biomechanical Testing and Implant Stability,2,27381372,2016,Plate Positioning in Periprosthetic or Interprosthetic Femur Fractures With Stable Implants-A Biomechanical Study.
24,Biomechanical Testing and Implant Stability,3,28209401,2017,The Effect of Prophylactic Cerclage Wires in Primary Total Hip Arthroplasty: A Biomechanical Study.
24,Biomechanical Testing and Implant Stability,4,26639983,2016,Does Increased Coefficient of Friction of Highly Porous Metal Increase Initial Stability at the Acetabular Interface?
24,Biomechanical Testing and Implant Stability,5,26989031,2016,Application of Far Cortical Locking Technology in Periprosthetic Femoral Fracture Fixation: A Biomechanical Study.
25,Implant Survival Analysis and Competing Risk Methods,1,33199094,2021,Contemporary Mortality Rate and Outcomes in Nonagenarians Undergoing Primary Total Hip Arthroplasty.
25,Implant Survival Analysis and Competing Risk Methods,2,40473057,2025,Total Hip Arthroplasty in Patients Under 30 Years Who Have Osteonecrosis of the Femoral Head: Mean Follow-Up of More than 120 Months.
25,Implant Survival Analysis and Competing Risk Methods,3,33036842,2021,"Long-Term Results of Total Hip Arthroplasty in Young Patients With Osteonecrosis After Allogeneic Bone Marrow Transplantation for Hematological Disease: A Multicenter, Propensity-Matched Cohort Study With a Mean 11-Year Follow-Up."
25,Implant Survival Analysis and Competing Risk Methods,4,27325368,2016,Cementless Tapered Femoral Stems for Total Hip Arthroplasty in Octogenarians.
25,Implant Survival Analysis and Competing Risk Methods,5,28108170,2017,Birmingham Hip Resurfacing in Patients 55 Years or Younger: Risk Factors for Poor Midterm Outcomes.
26,Femoral Head Taper Corrosion and Modular Junction Failure,1,30100136,2018,Head Taper Corrosion Causing Head Bottoming Out and Consecutive Gross Stem Taper Failure in Total Hip Arthroplasty.
26,Femoral Head Taper Corrosion and Modular Junction Failure,2,25817187,2015,Corrosion and Fretting of a Modular Hip System: A Retrieval Analysis of 60 Rejuvenate Stems.
26,Femoral Head Taper Corrosion and Modular Junction Failure,3,27004680,2016,Comparative Fixation and Subsidence Profiles of Cementless Unicompartmental Knee Arthroplasty Implants.
26,Femoral Head Taper Corrosion and Modular Junction Failure,4,38479635,2024,The Frank Stinchfield Award: Assembly and Dissociation Forces Differ Between Commonly Used Dual Mobility Implants: A Biomechanical Study.
26,Femoral Head Taper Corrosion and Modular Junction Failure,5,32826144,2021,Biomechanical Comparison of Periprosthetic Femoral Fracture Risk in Three Femoral Components in a Sawbone Model.
27,Medicare Reimbursement and Bundled Payments (Costs),1,35091031,2022,Demand Matching Total Joint Replacement Patients Results in Reduction of Post-Discharge Costs.
27,Medicare Reimbursement and Bundled Payments (Costs),2,30755375,2019,How Much Does a Readmission Cost the Bundle Following Primary Hip and Knee Arthroplasty?
27,Medicare Reimbursement and Bundled Payments (Costs),3,26880328,2016,Clinical Outcomes and Costs Within 90 Days of Primary or Revision Total Joint Arthroplasty.
27,Medicare Reimbursement and Bundled Payments (Costs),4,40505747,2026,Evaluating Postoperative Follow-Up in Total Hip and Knee Arthroplasty: A Six-Year Review of Current Procedural Terminology Code 99024 and the Role of Comorbidity in Visit Frequency.
27,Medicare Reimbursement and Bundled Payments (Costs),5,28844631,2018,Improving Value in Total Hip and Knee Arthroplasty: The Role of High Volume Hospitals.
28,Medicare Reimbursement and Bundled Payments (PROMs),1,35256234,2022,The Impact of Patient Resilience on Discharge After Total Hip Arthroplasty.
28,Medicare Reimbursement and Bundled Payments (PROMs),2,40706717,2026,"Patient, Hospital, and Outcome Factors Associated With Attaining Substantial Clinical Benefit Following Primary Total Hip Arthroplasty."
28,Medicare Reimbursement and Bundled Payments (PROMs),3,39413859,2025,Preoperative Osteoporosis Is Associated With Increased Health Care Utilization and Compromised Pain and Function Improvement After Primary Total Hip Arthroplasty: A Prospective Cohort Analysis.
28,Medicare Reimbursement and Bundled Payments (PROMs),4,38401614,2024,Impact of Chronic Opioid Use on Postoperative Mobility Recovery and Patient-Reported Outcomes: A Propensity-Matched Study.
28,Medicare Reimbursement and Bundled Payments (PROMs),5,39586411,2025,Evaluating Patient-Reported Outcome Measure Collection and Attainment of Substantial Clinical Benefit in Total Joint Arthroplasty Patients.
29,Machine Learning Prediction of Arthroplasty Outcomes,1,39489386,2025,Data-Driven Approach to Development of a Risk Score for Periprosthetic Joint Infections in Total Joint Arthroplasty Using Electronic Health Records.
29,Machine Learning Prediction of Arthroplasty Outcomes,2,37315632,2023,Validation of Machine Learning Model Performance in Predicting Blood Transfusion After Primary and Revision Total Hip Arthroplasty.
29,Machine Learning Prediction of Arthroplasty Outcomes,3,32564970,2020,Development of Machine Learning Algorithms to Predict Patient Dissatisfaction After Primary Total Knee Arthroplasty.
29,Machine Learning Prediction of Arthroplasty Outcomes,4,40912339,2026,Utility of Multiclass Machine Learning Algorithms in Predicting Same-Day Discharge Following Primary Total Knee Arthroplasty.
29,Machine Learning Prediction of Arthroplasty Outcomes,5,36849013,2023,Validation and Generalizability of Machine Learning Models for the Prediction of Discharge Disposition Following Revision Total Knee Arthroplasty.
30,Unicompartmental Knee Arthroplasty Functional Outcomes,1,33243585,2021,Long-Term Functional Outcomes and Quality of Life at Minimum 10-Year Follow-Up After Fixed-Bearing Unicompartmental Knee Arthroplasty and Total Knee Arthroplasty for Isolated Medial Compartment Osteoarthritis.
30,Unicompartmental Knee Arthroplasty Functional Outcomes,2,28993076,2018,"Unicompartmental Knee Arthroplasty Achieves Greater Flexion With No Difference in Functional Outcome, Quality of Life, and Satisfaction vs Total Knee Arthroplasty in Patients Younger Than 55 Years. A Propensity Score-Matched Cohort Analysis."
30,Unicompartmental Knee Arthroplasty Functional Outcomes,3,40659227,2026,"Lateral and Medial Unicompartmental Knee Arthroplasty Have Similar Reoperation Rates, Patient-Reported Outcomes, and Functional Performance in a Two-Year Follow-Up Period."
30,Unicompartmental Knee Arthroplasty Functional Outcomes,4,37271236,2023,Midvastus Versus Medial Parapatellar Approach in Simultaneous Bilateral Total Knee Arthroplasty.
30,Unicompartmental Knee Arthroplasty Functional Outcomes,5,31735490,2020,Sagittal Stability and Implant Design Affect Patient Reported Outcomes After Total Knee Arthroplasty.
31,Hip-Spine Syndrome and Lumbar Fusion After THA,1,42069013,2026,Risk Factors Associated With Osteonecrosis of the Femoral Head After Undergoing Lumbar Decompression and Fusion.
31,Hip-Spine Syndrome and Lumbar Fusion After THA,2,33414039,2021,"Iliopsoas Impingement After Direct Anterior Approach Total Hip Arthroplasty: Epidemiology, Risk Factors, and Treatment Options."
31,Hip-Spine Syndrome and Lumbar Fusion After THA,3,36257506,2023,Risk Factors for Iliopsoas Tendinopathy After Anterior Approach Total Hip Arthroplasty.
