topic_id,clinical_label,n_documents_2005_2025,recent_10yr_share,class_at_50pct,class_at_60pct,class_at_70pct,class_at_75pct,class_at_80pct,class_at_85pct,class_at_90pct
78,Preoperative Opioid Use and Outcomes,19,0.9474,Stable,Stable,Stable,Stable,Stable,Stable,Stable
79,KOOS Outcomes After Simultaneous Bilateral TKA,20,0.9,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging
80,"Opioid Use, Prescription Patterns, and Stewardship (Efficacy and Safety)",21,1.0,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging
81,Knee Society Score and Clinical Outcome Reporting,20,0.1,Cold,Cold,Cold,Cold,Cold,Cold,Cold
82,Bibliometric Analysis of Joint Arthroplasty Literature,19,0.8947,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging,Hot
,,,,,,,,,,
Summary: topics with a significant positive slope classified Emerging / Hot,,,,,,,,,,
threshold 50%,Emerging 36,Hot 0,,,,,,,,
threshold 60%,Emerging 36,Hot 0,,,,,,,,
threshold 70%,Emerging 36,Hot 0,,,,,,,,
threshold 75%,Emerging 36,Hot 0,,,,,,,,
threshold 80%,Emerging 29,Hot 7,,,,,,,,
threshold 85%,Emerging 21,Hot 15,,,,,,,,
threshold 90%,Emerging 14,Hot 22,,,,,,,,
