doc_id,pmid,year,journal,title,topic_id,topic_probability,clinical_label
89,16124957,2005,The Journal of arthroplasty,Impingement in total hip arthroplasty a study of retrieved acetabular components.,-1,0.014102301812944,
90,16124958,2005,The Journal of arthroplasty,Primary total-hip arthroplasty with the autophor 900-s fully porous coated stem in young patients seven to seventeen years of follow-up.,2,0.0767093965490122,Primary Total Hip Arthroplasty Technique and Outcomes
91,16124959,2005,The Journal of arthroplasty,Acetabular revision with a 7-mm lateral offset component inserted without cement in patients who have acetabular deficiency.,33,1.0,Osteolysis and Implant Loosening
92,16124960,2005,The Journal of arthroplasty,Revision hip arthroplasty using strut allografts and fully porous-coated stems.,12,0.0850590453667575,Ceramic-on-Ceramic Bearings and Fracture
93,16124961,2005,The Journal of arthroplasty,Operative risk of total hip and knee arthroplasty in cirrhotic patients.,-1,0.0334096067553419,
94,16124962,2005,The Journal of arthroplasty,Trochanteric heterotopic ossification after total hip arthroplasty performed using a direct lateral approach.,2,0.1677758754016511,Primary Total Hip Arthroplasty Technique and Outcomes
95,16124963,2005,The Journal of arthroplasty,Modified Exeter technique in revision hip surgery: does distal fixation of the stem affect allograft transformation?,2,1.0,Primary Total Hip Arthroplasty Technique and Outcomes
96,16124964,2005,The Journal of arthroplasty,Successful biologic fixation with mobile-bearing total knee arthroplasty.,12,0.2610206989963624,Ceramic-on-Ceramic Bearings and Fracture
97,16124965,2005,The Journal of arthroplasty,Activity sampling in the assessment of patients with total joint arthroplasty.,-1,0.0393036160373845,
98,16124966,2005,The Journal of arthroplasty,Acetabular reconstruction using a roof reinforcement ring with hook for total hip arthroplasty in developmental dysplasia of the hip-osteoarthritis minimum 10-year follow-up results.,2,0.235751996395852,Primary Total Hip Arthroplasty Technique and Outcomes
99,16124967,2005,The Journal of arthroplasty,Decreases in pulmonary artery oxygen saturation during total hip arthroplasty variations using 2 leg positioning techniques.,-1,0.1012760356984135,
100,16124969,2005,The Journal of arthroplasty,Survival of cementless femoral components after osteonecrosis of the femoral head with different etiologies.,-1,0.0386045260678751,
101,16124970,2005,The Journal of arthroplasty,Effect of hydroxyapatite-coated tibial components on changes in bone mineral density of the proximal tibia after uncemented total knee arthroplasty: a prospective randomized study using dual-energy x-ray absorptiometry.,-1,0.0402613566402355,
102,16124971,2005,The Journal of arthroplasty,Influence of cement viscosity and cement mantle thickness on migration of the Exeter total hip prosthesis.,-1,0.0396817411366506,
103,16124972,2005,The Journal of arthroplasty,Kinematic analysis of conventional and high-flexion cruciate-retaining total knee arthroplasties: an in vitro investigation.,8,0.5458209449853801,"Knee Kinematics, Gap Balancing, and ROM"
104,16124973,2005,The Journal of arthroplasty,Constrained acetabular liners: mechanisms of failure.,-1,0.0483914127044841,
105,16139703,2005,The Journal of arthroplasty,Influence of the pneumatic tourniquet on patella tracking in total knee arthroplasty: a prospective randomized study in 100 patients.,50,0.097209623567224,Minimally Invasive Surgical Approaches in TJA
106,15991142,2005,The Journal of arthroplasty,What would you do? Case challenges in hip surgery.,21,1.0,Adverse Local Tissue Reactions and Implant Corrosion
107,16310001,2005,The Journal of arthroplasty,Effects of hydrogen peroxide solutions on artificial hip joint implants.,-1,0.0240786294795783,
108,16139705,2005,The Journal of arthroplasty,Knee arthrodesis using an intramedullary nail.,-1,0.0268454816882073,
109,16139706,2005,The Journal of arthroplasty,"Prospective evaluation of total hip arthroplasty with a cementless, anatomically designed, porous-coated femoral implant: mean 11-year follow-up.",33,1.0,Osteolysis and Implant Loosening
110,16139707,2005,The Journal of arthroplasty,Polyethylene liner failure in second-generation Harris-Galante acetabular components.,33,1.0,Osteolysis and Implant Loosening
111,16139708,2005,The Journal of arthroplasty,Isolated acetabular revision through the posterior approach: short-term results after revision of a recalled acetabular component.,-1,0.0164739257979889,
112,16139709,2005,The Journal of arthroplasty,Long-term results with cementless Fitek (or Fitmore) cups.,-1,0.0258638963982538,
113,16139710,2005,The Journal of arthroplasty,Cementless revision total hip arthroplasty without allograft in severe proximal femoral defects.,33,0.0696890146389945,Osteolysis and Implant Loosening
114,16139711,2005,The Journal of arthroplasty,Does bilateral total knee arthroplasty affect gait in women?: comparison of gait analyses before and after total knee arthroplasty compared with normal knees.,-1,0.0804944797071213,
115,16139712,2005,The Journal of arthroplasty,"Management of types B2 and B3 femoral periprosthetic fractures by a tapered, fluted, and distally fixed stem.",-1,0.1136504250014386,
116,16139713,2005,The Journal of arthroplasty,The ball and socket articulating spacer for infected total knee arthroplasty.,2,0.0826270947730998,Primary Total Hip Arthroplasty Technique and Outcomes
117,16139714,2005,The Journal of arthroplasty,Cognitive dysfunction after total knee arthroplasty: effects of intraoperative cerebral embolization and postoperative complications.,-1,0.0030126803379483,
118,16139715,2005,The Journal of arthroplasty,Knee fusion using dual platings with the locking compression plate.,-1,0.0459712591958431,
119,16139716,2005,The Journal of arthroplasty,In vivo kinematic comparison of posterior cruciate-retaining and posterior stabilized total knee arthroplasties under passive and weight-bearing conditions.,8,1.0,"Knee Kinematics, Gap Balancing, and ROM"
120,16139717,2005,The Journal of arthroplasty,Fluoride-containing acrylic bone cement in total hip arthroplasty. Randomized evaluation of 97 stems using radiostereometry and dual-energy x-ray absorptiometry.,-1,0.05232896390974,
121,16139718,2005,The Journal of arthroplasty,A study of the effect of tibial tray rotation on a specific mobile bearing total knee arthroplasty.,8,0.1900363055449402,"Knee Kinematics, Gap Balancing, and ROM"
122,16139719,2005,The Journal of arthroplasty,Cement retrieval in minimally invasive knee surgery: the 90 degrees ball probe.,-1,0.021475136916127,
123,16139720,2005,The Journal of arthroplasty,A technique for removing a well-fixed cemented acetabular component in revision total hip arthroplasty.,2,1.0,Primary Total Hip Arthroplasty Technique and Outcomes
124,16139721,2005,The Journal of arthroplasty,Severe symptomatic heterotopic ossification and dislocation: a complication after two-incision minimally invasive total hip arthroplasty.,50,0.2439782814993965,Minimally Invasive Surgical Approaches in TJA
125,16139722,2005,The Journal of arthroplasty,A pathological fracture of the femoral neck associated with osteonecrosis of the femoral head and a stress fracture of the contralateral femoral neck.,-1,0.0422055394427602,
126,16139723,2005,The Journal of arthroplasty,Femoral artery and vein injury after cerclage wiring of the femur: a case report.,13,0.5411327365482593,Case Reports of Unusual Arthroplasty Complications
127,16139724,2005,The Journal of arthroplasty,Total joint arthroplasty in patients with osteopetrosis: a report of 5 cases and review of the literature.,10,0.09517493462721,Aseptic Loosening of Hip and Knee Implants
128,16213996,2005,The Journal of arthroplasty,"Experience with an all-polyethylene total knee arthroplasty in younger, active patients with follow-up from 2 to 11 years.",-1,0.0198394177240875,
129,16213997,2005,The Journal of arthroplasty,Long-term results of total knee arthroplasty in young patients with rheumatoid arthritis.,12,0.5059216747858456,Ceramic-on-Ceramic Bearings and Fracture
130,16213998,2005,The Journal of arthroplasty,Differences in patient and procedure characteristics and hospital resource use in primary and revision total joint arthroplasty: a multicenter study.,-1,0.1073627352794495,
131,16213999,2005,The Journal of arthroplasty,"Early results of 1000 consecutive, posterior, single-incision minimally invasive surgery total hip arthroplasties.",-1,0.0958274700300372,
132,16214000,2005,The Journal of arthroplasty,Outpatient total knee arthroplasty with a minimally invasive technique.,-1,0.0667684772983589,
133,16214001,2005,The Journal of arthroplasty,Does shortened length of hospital stay affect total knee arthroplasty rehabilitation outcomes?,-1,0.1119993899801541,
134,16230241,2005,The Journal of arthroplasty,Five- to fifteen-year clinical results and the radiographic evaluation of acetabular changes after bipolar hip arthroplasty for femoral head osteonecrosis.,-1,0.0509923913993345,
135,16309990,2005,The Journal of arthroplasty,Revision total hip arthroplasty in hip joints with metallosis: a single-center experience with 31 cases.,-1,0.0684773339862707,
136,16214003,2005,The Journal of arthroplasty,Total hip arthroplasty through a minimal posterior approach using imageless computer-assisted hip navigation.,1,0.1681236905915342,Acetabular Cup Orientation and Component Positioning
137,16214004,2005,The Journal of arthroplasty,Hydroxyapatite-coated femoral stem survivorship at 10 years.,33,0.1987764952614448,Osteolysis and Implant Loosening
138,16214005,2005,The Journal of arthroplasty,The effect of total hip arthroplasty cup design on polyethylene wear rate.,49,0.4731534749847209,Polyethylene Wear and Osteolysis
139,16214006,2005,The Journal of arthroplasty,Early femoral head penetration of a highly cross-linked polyethylene liner vs a conventional polyethylene liner: a case-controlled study.,49,1.0,Polyethylene Wear and Osteolysis
140,16214007,2005,The Journal of arthroplasty,Impingement of acetabular cups in a hip simulator: comparison of highly cross-linked and conventional polyethylene.,-1,0.1399862721858881,
141,16214008,2005,The Journal of arthroplasty,Cracking and impingement in ultra-high-molecular-weight polyethylene acetabular liners.,16,0.1843456623917942,Implant Retrieval and Corrosion Analysis
142,16214009,2005,The Journal of arthroplasty,The long-term outcome of 755 consecutive constrained acetabular components in total hip arthroplasty examining the successes and failures.,14,1.0,THA Survivorship and Long-Term Aseptic Loosening
143,16214010,2005,The Journal of arthroplasty,High failure rate of a constrained acetabular liner in revision total hip arthroplasty.,-1,0.0142189603436607,
144,16214011,2005,The Journal of arthroplasty,Failure of femoral surface replacement for femoral head avascular necrosis.,-1,0.1524344648607518,
145,16214012,2005,The Journal of arthroplasty,Celecoxib does not affect osteointegration of cementless total hip stems.,0,0.3967998496672671,Tranexamic Acid and Perioperative Blood Management
146,16214013,2005,The Journal of arthroplasty,Computer assisted navigation in total knee arthroplasty: improved coronal alignment.,1,0.0594232038584099,Acetabular Cup Orientation and Component Positioning
147,16214014,2005,The Journal of arthroplasty,Computer assisted navigation in total knee arthroplasty: comparison with conventional methods.,1,0.0682356198565213,Acetabular Cup Orientation and Component Positioning
148,16230231,2005,The Journal of arthroplasty,Total hip arthroplasty with the APR stem and cup follow-up of a previous report.,-1,0.0256862273175803,
149,16230232,2005,The Journal of arthroplasty,Consistency of implantation of a total knee arthroplasty with a non-image-based navigation system: a case-control study of 235 cases compared with 235 conventionally implanted prostheses.,1,0.0956850939685486,Acetabular Cup Orientation and Component Positioning
150,16230233,2005,The Journal of arthroplasty,Mechanical properties of retrieved highly cross-linked crossfire liners after short-term implantation.,16,0.3486849592135258,Implant Retrieval and Corrosion Analysis
151,16230234,2005,The Journal of arthroplasty,Factors influencing range of motion after contemporary total knee arthroplasty.,-1,0.0385430360125528,
152,16230235,2005,The Journal of arthroplasty,Periprosthetic femoral fractures classification and demographics of 1049 periprosthetic femoral fractures from the Swedish National Hip Arthroplasty Register.,-1,0.0648135670353081,
153,16230236,2005,The Journal of arthroplasty,Does body mass index affect the early outcome of primary total hip arthroplasty?,-1,0.0774080751446514,
154,16230237,2005,The Journal of arthroplasty,Charnley low-frictional torque arthroplasty for avascular necrosis of the femoral head.,-1,0.0860126478476094,
155,16230238,2005,The Journal of arthroplasty,Ten-year experience using an articulating antibiotic cement hip spacer for the treatment of chronically infected total hip.,-1,0.0162044912046142,
156,16230239,2005,The Journal of arthroplasty,In vivo comparative wear study of traditional and highly cross-linked polyethylene in total hip arthroplasty.,-1,0.0839648469683592,
157,16230240,2005,The Journal of arthroplasty,Accurate femur repositioning is critical during intraoperative total hip arthroplasty length and offset assessment.,1,0.1975887421576914,Acetabular Cup Orientation and Component Positioning
158,16230242,2005,The Journal of arthroplasty,Secondary resurfacing of the patella in mobile-bearing total knee arthroplasty.,-1,0.0195013469762564,
159,16230243,2005,The Journal of arthroplasty,The 22-mm vs the 32-mm femoral head in cemented primary hip arthroplasty long-term clinical and radiological follow-up study.,33,0.1830030207569417,Osteolysis and Implant Loosening
160,16214002,2005,The Journal of arthroplasty,Obesity and perioperative morbidity in total hip and total knee arthroplasty patients.,5,1.0,Periprosthetic Joint Infection Diagnosis and Treatment (Odds)
161,16230245,2005,The Journal of arthroplasty,The acetabular insert-metal backing interface: an additional source of polyethylene wear debris.,-1,0.1200787597456015,
162,16230246,2005,The Journal of arthroplasty,Immediate cementless total hip arthroplasty for the treatment of active tuberculosis.,12,0.1814748998118201,Ceramic-on-Ceramic Bearings and Fracture
163,16230247,2005,The Journal of arthroplasty,Five-year follow-up of primary Optetrak Posterior Stabilized total knee arthroplasties in osteoarthritis.,-1,0.0493547855330856,
164,16230248,2005,The Journal of arthroplasty,An in vitro model for fluid pressurization of screw holes in metal-backed total joint components.,-1,0.1024164178364171,
165,16230249,2005,The Journal of arthroplasty,Effect of end-cutting intramedullary reamers on host-allograft contact area.,24,1.0,Biomechanical Testing and Implant Stability
166,16230250,2005,The Journal of arthroplasty,Antibiotic-laden cement: technique for uniform manual mixing.,38,0.2634346166697776,Implant Biofilm and Infection Biology
167,16230251,2005,The Journal of arthroplasty,Trunion fracture of a fully porous-coated femoral stem. Case report.,18,1.0,Polyethylene Liner Performance
168,16230252,2005,The Journal of arthroplasty,Huge pelvic mass secondary to wear debris causing ureteral obstruction.,13,0.3863639877718475,Case Reports of Unusual Arthroplasty Complications
169,16230253,2005,The Journal of arthroplasty,Full-thickness burn formation after the use of electrical stimulation for rehabilitation of unicompartmental knee arthroplasty.,13,0.1595393160651733,Case Reports of Unusual Arthroplasty Complications
170,16230254,2005,The Journal of arthroplasty,Ischial weight-bearing brace after the infection of megaprosthesis a salvage method for resection arthroplasty.,2,1.0,Primary Total Hip Arthroplasty Technique and Outcomes
171,16230255,2005,The Journal of arthroplasty,Periprosthetic femoral fractures associated with contralateral hip disease.,18,0.1341662308217773,Polyethylene Liner Performance
